assemblyAccession,name,refSeq,genomeAccession,chromosome,taxonomyId
GCF_009858895,Severe acute respiratory syndrome coronavirus 2,refseq:NC_045512,insdc:MN908947,Viral Chromosome,taxonomy:2697049
GCF_002816195,Middle East respiratory syndrome-related coronavirus,refseq:NC_038294,insdc:KC164505,Viral Chromosome,taxonomy:1263720
GCF_000864885,Severe acute respiratory syndrome-related coronavirus,refseq:NC_004718,insdc:AY274119,Viral Chromosome,taxonomy:694009
GCF_000858765,Human coronavirus HKU1 (HCoV-HKU1),refseq:NC_006577,insdc:AY597011,Viral Chromosome,taxonomy:443239
GCF_003972325,Human coronavirus OC43 (HCoV-OC43),refseq:NC_006213,insdc:AY585228,Viral Chromosome,taxonomy:31631
GCF_000853505,Human coronavirus 229E (HCoV-229E),refseq:NC_002645,insdc:AF304460,Viral Chromosome,taxonomy:11137
GCF_000853855,Human coronavirus NL63 (HCoV-NL63),refseq:NC_005831,insdc:KT381875,Viral Chromosome,taxonomy:277944
NA-MN996532,Bat coronavirus RaTG13,,insdc:MN996532,Viral Chromosome,taxonomy:2709072
NA-MT040335,Pangolin coronavirus,,insdc:MT040335,Viral Chromosome,taxonomy:2708335
GCF_000861265,Human rhinovirus 14 (HRV-14),refseq:NC_001490,insdc:K02121,Viral Chromosome,taxonomy:12131
GCF_002816835,Human rhinovirus 1A (HRV-1A),,insdc:FJ445111,Viral Chromosome,taxonomy:12134
GCF_000919475,Mink coronavirus strain WD1127,refseq:NC_023760,insdc:HM245925,Viral Chromosome,taxonomy:766791
GCF_000875645,Rhinolophus bat coronavirus HKU2,refseq:NC_009988,insdc:EF203064,Viral Chromosome,taxonomy:693998
NA-KF569996,Rhinolophus affinis coronavirus,,insdc:KF569996,Viral Chromosome,taxonomy:1487703
NA-AY572035,SARS coronavirus civet020,,insdc:AY572038,Viral Chromosome,taxonomy:285949
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000001,insdc:CM000663,Chromosome 1,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000002,insdc:CM000664,Chromosome 2,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000003,insdc:CM000665,Chromosome 3,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000004,insdc:CM000666,Chromosome 4,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000005,insdc:CM000667,Chromosome 5,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000006,insdc:CM000668,Chromosome 6,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000007,insdc:CM000669,Chromosome 7,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000008,insdc:CM000670,Chromosome 8,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000009,insdc:CM000671,Chromosome 9,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000010,insdc:CM000672,Chromosome 10,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000011,insdc:CM000673,Chromosome 11,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000012,insdc:CM000674,Chromosome 12,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000013,insdc:CM000675,Chromosome 13,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000014,insdc:CM000676,Chromosome 14,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000015,insdc:CM000677,Chromosome 15,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000016,insdc:CM000678,Chromosome 16,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000017,insdc:CM000679,Chromosome 17,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000018,insdc:CM000680,Chromosome 18,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000019,insdc:CM000681,Chromosome 19,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000020,insdc:CM000682,Chromosome 20,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000021,insdc:CM000683,Chromosome 21,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000022,insdc:CM000684,Chromosome 22,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000023,insdc:CM000685,Chromosome X,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_000024,insdc:CM000686,Chromosome Y,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,refseq:NC_012920,insdc:J01415,Mitochondrion,taxonomy:9606
GCF_000001405,Homo sapiens GRCh38.p13,GRCh38.p13 Unplaced,GRCh38.p13 Unplaced,Unplaced,taxonomy:9606