# This file contains a mapping of locations to their standard names in GeoNames.org,
# as well as other special location, e.g., cruise ships.
#
name,geoname,type
#
# Countries and dependent territories
#
Czech Republic,Czechia,Country
Czech republic,Czechia,Country
Luxemburg,Luxembourg,Country
"Korea, South",South Korea,Country
Taiwan*,Taiwan,Country
Congo (Kinshasa),Democratic Republic of the Congo,Country
Congo (Brazzaville),Republic of the Congo,Country
US,United States,Country
Burma,Myanmar,Country
Cote d'Ivoire,Ivory Coast,Country
Timor-Leste,Timor Leste,Country
West Bank and Gaza,Palestinian Territory,Country
Holy See,Vatican,Country
Macau,Macao,Country
Falkland Islands (Malvinas),Falkland Islands,Country
Channel Islands,Guernsey,Country
"Bonaire, Sint Eustatius and Saba","Bonaire, Saint Eustatius and Saba",Country
Hong Kong,Hong Kong,Country
Faroe Islands,Faroe Islands,Country
Gibraltar,Gibraltar,Country
French Guiana,French Guiana,Country
French Polynesia,French Polynesia,Country
Aruba,Aruba,Country
Cayman Islands,Cayman Islands,Country
Curacao,Curacao,Country
Mayotte,Mayotte,Country
Greenland,Greenland,Country
Montserrat,Montserrat,Country
New Caledonia,New Caledonia,Country
Bermuda,Bermuda,Country
Sint Maarten,Sint Maarten,Country
Isle of Man,Isle of Man,Country
Anguilla,Anguilla,Country
British Virgin Islands,British Virgin Islands,Country
Turks and Caicos Islands,Turks and Caicos Islands,Country
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Country
Saint Barthelemy,Saint Barthelemy,Country
#
# Administrative 1 divisions
#
AK,Alaska,Admin1
AL,Alabama,Admin1
AR,Arkansas,Admin1
AS,American Samoa,Admin1
AZ,Arizona,Admin1
CA,California,Admin1
CO,Colorado,Admin1
CT,Connecticut,Admin1
DC,District of Columbia,Admin1
DE,Delaware,Admin1
FL,Florida,Admin1
GA,Georgia,Admin1
GU,Guam,Admin1
HI,Hawaii,Admin1
IA,Iowa,Admin1
ID,Idaho,Admin1
IL,Illinois,Admin1
IN,Indiana,Admin1
KS,Kansas,Admin1
KY,Kentucky,Admin1
LA,Louisiana,Admin1
MA,Massachusetts,Admin1
MD,Maryland,Admin1
ME,Maine,Admin1
MI,Michigan,Admin1
MN,Minnesota,Admin1
MO,Missouri,Admin1
MP,Northern Mariana Islands,Admin1
MS,Mississippi,Admin1
MT,Montana,Admin1
NC,North Carolina,Admin1
ND,North Dakota,Admin1
NE,Nebraska,Admin1
NH,New Hampshire,Admin1
NJ,New Jersey,Admin1
NM,New Mexico,Admin1
NV,Nevada,Admin1
NY,New York,Admin1
OH,Ohio,Admin1
OK,Oklahoma,Admin1
OR,Oregon,Admin1
PA,Pennsylvania,Admin1
PR,Puerto Rico,Admin1
RI,Rhode Island,Admin1
SC,South Carolina,Admin1
SD,South Dakota,Admin1
TN,Tennessee,Admin1
TX,Texas,Admin1
UT,Utah,Admin1
VA,Virginia,Admin1
VI,Virgin Islands,Admin1
VT,Vermont,Admin1
WA,Washington,Admin1
WI,Wisconsin,Admin1
WV,West Virginia,Admin1
WY,Wyoming,Admin1
# Canada
AB,Alberta,Admin1
BC,British Columbia,Admin1
MB,Manitoba,Admin1
NB,New Brunswick,Admin1
NL,Newfoundland and Labrador,Admin1
NT,Northwest Territories,Admin1
NS,Nova Scotia,Admin1
NU,Nunavut,Admin1
ON,Ontario,Admin1
PE,Prince Edward Island,Admin1
QC,Quebec,Admin1
SK,Saskatchewan,Admin1
YT,Yukon,Admin1
Ningxia,Ningxia Hui Autonomous Region,Admin1
Nonthaburi Province,Nonthaburi,Admin1
Guangdong Province,Guangdong,Admin1
Ile De France,Ile-de-France,Admin1
#
# Cruise ships
#
Diamond Princess,Diamond Princess,CruiseShip
MS Zaandam,MS Zaandam,CruiseShip
Grand Princess,Grand Princess,CruiseShip